TimeStamp,Standard Deviation between Vehicle Coordinates,Mean Position of Vehicle Coordinates,Position of Vehicles
0,"(None, None)","(None, None)",[]
1,"(None, None)","(None, None)",[]
2,"(None, None)","(None, None)",[]
3,"(None, None)","(None, None)",[]
4,"(None, None)","(None, None)",[]
5,"(None, None)","(None, None)",[]
6,"(None, None)","(None, None)",[]
7,"(None, None)","(None, None)",[]
8,"(None, None)","(None, None)",[]
9,"(None, None)","(None, None)",[]
1427,"(24.201659454822707, 27.011704714013604)","(35.002538656706314, 72.72951886561019)","[(68.50300592626903, 62.63272027135157), (73.13342992407911, 49.91185576811282), (73.08054334190223, 57.41293600686724), (61.68144103417813, 65.7526091624283), (54.85991803562088, 68.87247889321377), (41.21683719518446, 75.11223429061388), (48.03838213093452, 71.99235452670476), (16.85922231320849, 88.49100207204724), (33.27077447617644, 76.31), (16.80146601718751, 95.99210101777187), (16.764696147773723, 103.48532317656395), (13.564010125809242, 103.67051523145547), (16.738624826553014, 110.99013921366858), (13.537885492387002, 111.18694547608271), (34.88091328294945, 33.569945337219174), (13.2984676849114, 30.71573868903718), (-1.1864607911172795, 30.302921582234557)]"
1428,"(23.783196041287063, 26.84444758875989)","(36.15783646156759, 72.83252733694694)","[(68.50300592626903, 62.63272027135157), (73.13342992407911, 49.91185576811282), (73.08054334190223, 57.41293600686724), (61.68144103417813, 65.7526091624283), (54.85991803562088, 68.87247889321377), (41.21683719518446, 75.11223429061388), (48.03838213093452, 71.99235452670476), (16.85922231320849, 88.49100207204724), (33.27077447617644, 76.31), (16.80146601718751, 95.99210101777187), (16.764696147773723, 103.48532317656395), (13.564010125809242, 103.67051523145547), (16.738624826553014, 110.99013921366858), (13.537885492387002, 111.18694547608271), (45.22208003605774, 33.62251269151342), (20.630189840611486, 32.4170437438254), (0.7807129827160884, 30.300193185876953)]"
1429,"(23.456367874577165, 26.735432100273254)","(37.56210690351726, 72.90151673074594)","[(68.50300592626903, 62.63272027135157), (73.13342992407911, 49.91185576811282), (73.08054334190223, 57.41293600686724), (61.68144103417813, 65.7526091624283), (54.85991803562088, 68.87247889321377), (41.21683719518446, 75.11223429061388), (48.03838213093452, 71.99235452670476), (16.85922231320849, 88.49100207204724), (33.27077447617644, 76.31), (16.80146601718751, 95.99210101777187), (16.764696147773723, 103.48532317656395), (13.564010125809242, 103.67051523145547), (16.738624826553014, 110.99013921366858), (13.537885492387002, 111.18694547608271), (55.333394266070115, 33.67391163422459), (29.91053878446462, 33.54467938382388), (5.26164732199494, 30.293978297750353)]"
1430,"(23.89249331179599, 26.72653818018057)","(38.918603439547944, 72.90722102551622)","[(68.50300592626903, 62.63272027135157), (73.13342992407911, 49.91185576811282), (73.08054334190223, 57.41293600686724), (61.68144103417813, 65.7526091624283), (54.85991803562088, 68.87247889321377), (41.21683719518446, 75.11223429061388), (48.03838213093452, 71.99235452670476), (16.85922231320849, 88.49100207204724), (33.27077447617644, 76.31), (16.80146601718751, 95.99210101777187), (16.764696147773723, 103.48532317656395), (13.564010125809242, 103.67051523145547), (16.738624826553014, 110.99013921366858), (13.537885492387002, 111.18694547608271), (65.75618131674115, 33.71414035916914), (41.38953611940402, 33.603030683464915), (6.420304048906147, 30.29237128425949)]"
1431,"(24.90525614665293, 26.725397378457505)","(40.21638680834787, 72.90795043483746)","[(68.50300592626903, 62.63272027135157), (73.13342992407911, 49.91185576811282), (73.08054334190223, 57.41293600686724), (61.68144103417813, 65.7526091624283), (54.85991803562088, 68.87247889321377), (41.21683719518446, 75.11223429061388), (48.03838213093452, 71.99235452670476), (16.85922231320849, 88.49100207204724), (33.27077447617644, 76.31), (16.80146601718751, 95.99210101777187), (16.764696147773723, 103.48532317656395), (13.564010125809242, 103.67051523145547), (16.738624826553014, 110.99013921366858), (13.537885492387002, 111.18694547608271), (76.08540515846816, 33.66951097147086), (52.71868941942998, 33.66062027945488), (6.824244176751857, 30.291811034428914)]"
1432,"(26.364349750337333, 26.724611393181842)","(41.51052176843316, 72.90845982004501)","[(68.50300592626903, 62.63272027135157), (73.13342992407911, 49.91185576811282), (73.08054334190223, 57.41293600686724), (61.68144103417813, 65.7526091624283), (54.85991803562088, 68.87247889321377), (41.21683719518446, 75.11223429061388), (48.03838213093452, 71.99235452670476), (16.85922231320849, 88.49100207204724), (33.27077447617644, 76.31), (16.80146601718751, 95.99210101777187), (16.764696147773723, 103.48532317656395), (13.564010125809242, 103.67051523145547), (16.738624826553014, 110.99013921366858), (13.537885492387002, 111.18694547608271), (85.97289435162975, 33.61986040466384), (64.56059372539073, 33.71930612408617), (7.09514499907947, 30.29143530513304)]"
1433,"(25.412869153330337, 25.548783717419848)","(39.409030405033356, 75.36107528019829)","[(68.50300592626903, 62.63272027135157), (73.13342992407911, 49.91185576811282), (73.08054334190223, 57.41293600686724), (61.68144103417813, 65.7526091624283), (54.85991803562088, 68.87247889321377), (41.21683719518446, 75.11223429061388), (48.03838213093452, 71.99235452670476), (16.85922231320849, 88.49100207204724), (33.27077447617644, 76.31), (16.80146601718751, 95.99210101777187), (16.764696147773723, 103.48532317656395), (13.564010125809242, 103.67051523145547), (16.738624826553014, 110.99013921366858), (13.537885492387002, 111.18694547608271), (75.37258317054435, 33.67259085524009), (7.121666322725564, 30.29139852105031)]"
1434,"(26.71206478342484, 25.556888377908923)","(40.17136744971253, 75.35642197300643)","[(68.50300592626903, 62.63272027135157), (73.13342992407911, 49.91185576811282), (73.08054334190223, 57.41293600686724), (61.68144103417813, 65.7526091624283), (54.85991803562088, 68.87247889321377), (41.21683719518446, 75.11223429061388), (48.03838213093452, 71.99235452670476), (16.85922231320849, 88.49100207204724), (33.27077447617644, 76.31), (16.80146601718751, 95.99210101777187), (16.764696147773723, 103.48532317656395), (13.564010125809242, 103.67051523145547), (16.738624826553014, 110.99013921366858), (13.537885492387002, 111.18694547608271), (87.56379925973656, 33.59814650691897), (7.127842948400086, 30.291389954301803)]"
1435,"(24.35923991726491, 23.810733463391635)","(37.01189579710372, 78.14030697106729)","[(68.50300592626903, 62.63272027135157), (73.13342992407911, 49.91185576811282), (73.08054334190223, 57.41293600686724), (61.68144103417813, 65.7526091624283), (54.85991803562088, 68.87247889321377), (41.21683719518446, 75.11223429061388), (48.03838213093452, 71.99235452670476), (16.85922231320849, 88.49100207204724), (33.27077447617644, 76.31), (16.80146601718751, 95.99210101777187), (16.764696147773723, 103.48532317656395), (13.564010125809242, 103.67051523145547), (16.738624826553014, 110.99013921366858), (13.537885492387002, 111.18694547608271), (7.128199969292008, 30.291389459127195)]"
1436,"(24.35923991726491, 23.810733463391635)","(37.01189579710372, 78.14030697106729)","[(68.50300592626903, 62.63272027135157), (73.13342992407911, 49.91185576811282), (73.08054334190223, 57.41293600686724), (61.68144103417813, 65.7526091624283), (54.85991803562088, 68.87247889321377), (41.21683719518446, 75.11223429061388), (48.03838213093452, 71.99235452670476), (16.85922231320849, 88.49100207204724), (33.27077447617644, 76.31), (16.80146601718751, 95.99210101777187), (16.764696147773723, 103.48532317656395), (13.564010125809242, 103.67051523145547), (16.738624826553014, 110.99013921366858), (13.537885492387002, 111.18694547608271), (7.128199969292008, 30.291389459127195)]"
1437,"(24.359231001462017, 23.810733483647677)","(37.01190258018891, 78.1403069616594)","[(68.50300592626903, 62.63272027135157), (73.13342992407911, 49.91185576811282), (73.08054334190223, 57.41293600686724), (61.68144103417813, 65.7526091624283), (54.85991803562088, 68.87247889321377), (41.21683719518446, 75.11223429061388), (48.03838213093452, 71.99235452670476), (16.85922231320849, 88.49100207204724), (33.27077447617644, 76.31), (16.80146601718751, 95.99210101777187), (16.764696147773723, 103.48532317656395), (13.564010125809242, 103.67051523145547), (16.738624826553014, 110.99013921366858), (13.537885492387002, 111.18694547608271), (7.128301715569866, 30.291389318008918)]"
1438,"(24.359231001462017, 23.810733483647677)","(37.01190258018891, 78.1403069616594)","[(68.50300592626903, 62.63272027135157), (73.13342992407911, 49.91185576811282), (73.08054334190223, 57.41293600686724), (61.68144103417813, 65.7526091624283), (54.85991803562088, 68.87247889321377), (41.21683719518446, 75.11223429061388), (48.03838213093452, 71.99235452670476), (16.85922231320849, 88.49100207204724), (33.27077447617644, 76.31), (16.80146601718751, 95.99210101777187), (16.764696147773723, 103.48532317656395), (13.564010125809242, 103.67051523145547), (16.738624826553014, 110.99013921366858), (13.537885492387002, 111.18694547608271), (7.128301715569866, 30.291389318008918)]"
1439,"(25.2845675757732, 25.920934879466415)","(34.72438701521709, 75.15345405402185)","[(68.50300592626903, 62.63272027135157), (73.13342992407911, 49.91185576811282), (73.08054334190223, 57.41293600686724), (61.68144103417813, 65.7526091624283), (54.85991803562088, 68.87247889321377), (41.21683719518446, 75.11223429061388), (48.03838213093452, 71.99235452670476), (16.85922231320849, 88.49100207204724), (33.27077447617644, 76.31), (16.80146601718751, 95.99210101777187), (16.764696147773723, 103.48532317656395), (13.564010125809242, 103.67051523145547), (16.738624826553014, 110.99013921366858), (13.537885492387002, 111.18694547608271), (8.726416047326992, 30.339128175232865), (-1.1864607911172795, 30.302921582234557)]"
1440,"(24.87978264219251, 26.016931897072855)","(35.088853191913365, 75.05056034929547)","[(68.50300592626903, 62.63272027135157), (73.29246572936808, 47.957209065489124), (73.08054334190223, 57.41293600686724), (61.68144103417813, 65.7526091624283), (54.85991803562088, 68.87247889321377), (41.21683719518446, 75.11223429061388), (48.03838213093452, 71.99235452670476), (16.85922231320849, 88.49100207204724), (33.27077447617644, 76.31), (16.80146601718751, 95.99210101777187), (16.764696147773723, 103.48532317656395), (13.564010125809242, 103.67051523145547), (16.738624826553014, 110.99013921366858), (13.537885492387002, 111.18694547608271), (12.501697362198541, 30.650106866737936), (0.71068091586252, 30.30029031773112)]"
1441,"(24.288266574729608, 26.28393221127357)","(35.74452699937247, 74.76362897902608)","[(68.50300592626903, 62.63272027135157), (74.07209591953053, 43.494419922883615), (73.08910615424166, 56.19844379005709), (61.68144103417813, 65.7526091624283), (54.85991803562088, 68.87247889321377), (41.21683719518446, 75.11223429061388), (48.03838213093452, 71.99235452670476), (16.85922231320849, 88.49100207204724), (33.27077447617644, 76.31), (16.80146601718751, 95.99210101777187), (16.764696147773723, 103.48532317656395), (13.564010125809242, 103.67051523145547), (16.738624826553014, 110.99013921366858), (13.537885492387002, 111.18694547608271), (17.974778876482326, 31.742352468837286), (4.94018731842253, 30.294424150737278)]"
1442,"(25.048553562872026, 27.935840349117324)","(34.57729467597107, 71.77507449095843)","[(69.21239943939202, 62.30827434493952), (77.85993595081862, 38.953073000692704), (73.11105216276175, 53.085768248290606), (61.68144103417813, 65.7526091624283), (54.85991803562088, 68.87247889321377), (41.21683719518446, 75.11223429061388), (48.03838213093452, 71.99235452670476), (16.85922231320849, 88.49100207204724), (33.27077447617644, 76.31), (16.80146601718751, 95.99210101777187), (16.764696147773723, 103.48532317656395), (13.564010125809242, 103.67051523145547), (16.738624826553014, 110.99013921366858), (13.537885492387002, 111.18694547608271), (25.2420254465966, 33.206572280257355), (10.241799488043016, 30.46395382932809), (-1.1864607911172795, 30.302921582234557)]"
1443,"(25.43917399173185, 28.21969162453024)","(36.32225239817862, 71.35703666107794)","[(71.6339257490788, 60.91135457203814), (85.23454764305052, 36.83714497277804), (73.26615691605652, 48.133697354787515), (62.1398929317495, 65.54293308297264), (54.85991803562088, 68.87247889321377), (41.21683719518446, 75.11223429061388), (48.03838213093452, 71.99235452670476), (16.85922231320849, 88.49100207204724), (33.27077447617644, 76.31), (16.80146601718751, 95.99210101777187), (16.764696147773723, 103.48532317656395), (13.564010125809242, 103.67051523145547), (16.738624826553014, 110.99013921366858), (13.537885492387002, 111.18694547608271), (35.00274650321326, 33.570564653221645), (17.690968918784872, 31.670749039142972), (0.8582353462677359, 30.300085665261765)]"
1444,"(26.24585537650404, 28.59128809298464)","(38.58908718429813, 70.75497867786027)","[(73.08248611609253, 57.137385867543685), (92.43596263648489, 36.73232990032095), (75.36222653043042, 41.355519173233766), (64.61129358697015, 64.41262125986555), (55.1942128055762, 68.71958691672053), (41.21683719518446, 75.11223429061388), (48.03838213093452, 71.99235452670476), (16.85922231320849, 88.49100207204724), (33.27077447617644, 76.31), (16.80146601718751, 95.99210101777187), (16.764696147773723, 103.48532317656395), (13.564010125809242, 103.67051523145547), (16.738624826553014, 110.99013921366858), (13.537885492387002, 111.18694547608271), (47.0545028568663, 33.63182746439525), (26.521043813522297, 33.32035645128534), (4.960855061910965, 30.294395485351025)]"
1445,"(24.352241776015596, 28.708429178100328)","(37.407553072619464, 72.07247342158526)","[(73.12697751187413, 50.82702289918603), (81.81065762446947, 37.37537010827468), (68.30819461873082, 62.72181854188906), (57.68779228344897, 67.57913145890437), (41.21683719518446, 75.11223429061388), (48.32098411599958, 71.86310459538431), (16.85922231320849, 88.49100207204724), (33.27077447617644, 76.31), (16.80146601718751, 95.99210101777187), (16.764696147773723, 103.48532317656395), (13.564010125809242, 103.67051523145547), (16.738624826553014, 110.99013921366858), (13.537885492387002, 111.18694547608271), (55.90989786957412, 33.67684218064172), (38.016341192519754, 33.58588368863749), (6.586487351014653, 30.292140794242698)]"
1446,"(26.53040090837348, 29.093497982585244)","(39.53264581806723, 71.40384991069284)","[(73.56368103936725, 46.13780636091134), (91.60882586180345, 36.74361930124927), (72.52542001581814, 59.75103807769134), (61.04862532126808, 66.04203171341743), (41.47957348552978, 74.99207006928083), (50.109806995572605, 71.04497433959001), (16.85922231320849, 88.49100207204724), (33.27077447617644, 76.31), (16.80146601718751, 95.99210101777187), (16.764696147773723, 103.48532317656395), (13.564010125809242, 103.67051523145547), (16.738624826553014, 110.99013921366858), (13.537885492387002, 111.18694547608271), (60.75574032056902, 33.70147509905966), (46.89068470281909, 33.63099472596745), (7.0032959472328065, 30.291562696328388)]"
1447,"(24.50823328305921, 29.207757455115175)","(37.307103560449356, 72.72762141643769)","[(75.84946518883291, 40.54772876588228), (73.09919419646339, 54.76762313494185), (65.09192375746534, 64.1928017971228), (43.18031390089104, 74.21422492488544), (53.68375241737279, 69.41040620234091), (16.85922231320849, 88.49100207204724), (33.44892862108424, 76.31), (16.80146601718751, 95.99210101777187), (16.764696147773723, 103.48532317656395), (13.564010125809242, 103.67051523145547), (16.738624826553014, 110.99013921366858), (13.537885492387002, 111.18694547608271), (62.35235352937691, 33.709591178629985), (51.517515670562105, 33.65451434116637), (7.117201201772601, 30.29140471400586)]"
1448,"(26.1611380514415, 29.838593245341656)","(38.93584800728253, 71.73887934820121)","[(83.53676656349397, 37.10403101369318), (73.17112698760249, 48.771189791499914), (69.61809470977087, 62.122726866136695), (46.56771217271216, 72.66497538975892), (57.589909643450234, 67.62389874705482), (16.85922231320849, 88.49100207204724), (35.37449994123382, 76.31), (16.80146601718751, 95.99210101777187), (16.764696147773723, 103.48532317656395), (13.564010125809242, 103.67051523145547), (16.738624826553014, 110.99013921366858), (13.537885492387002, 111.18694547608271), (62.890210520030266, 33.712325272341296), (53.89933891601581, 33.66662188661064), (7.124155732009364, 30.291395068332857)]"
1449,"(27.85324312277139, 29.973867538457192)","(40.546028327337446, 71.15557877942827)","[(91.70696702048603, 36.74227979498882), (73.81797716764545, 44.43190316704509), (73.00224240310703, 58.103421042155645), (49.59020777725701, 71.28261656020635), (61.39188174701502, 65.88504106297002), (16.85922231320849, 88.49100207204724), (38.774802979719865, 76.19318903159105), (16.80146601718751, 95.99210101777187), (16.764696147773723, 103.48532317656395), (13.564010125809242, 103.67051523145547), (16.738624826553014, 110.99013921366858), (13.537885492387002, 111.18694547608271), (63.26727961304417, 33.7142420313569), (55.246442868049634, 36.873571299526944), (7.126718410818444, 30.291391513993315)]"
1450,"(26.11972138807792, 30.10468937157221)","(38.35967189952007, 72.33353630093713)","[(77.21725361775289, 39.34139557133136), (73.11121685582445, 53.06240928223252), (53.908533447550816, 69.30760107623408), (66.3372780835715, 63.623230563991555), (17.1389377479633, 86.49942193047096), (42.312587069458836, 74.61108566647472), (16.80146601718751, 95.99210101777187), (16.764696147773723, 103.48532317656395), (13.564010125809242, 103.67051523145547), (16.738624826553014, 110.99013921366858), (13.537885492387002, 111.18694547608271), (63.39894080445336, 33.7149113059814), (59.07612468842959, 36.89303875865341), (7.127851668565785, 30.29138994220726)]"
1451,"(27.90709704348169, 30.4392842757692)","(40.218658646649104, 70.91675692243066)","[(84.74384113505783, 36.91428254884507), (73.34726493522864, 47.589597726174546), (58.61618468918073, 67.1545249061527), (71.14592916294043, 61.28326704776419), (18.153329010495654, 82.25120597825938), (45.95938838233806, 72.94319639414552), (16.813373993836016, 94.4455525505475), (16.764696147773723, 103.48532317656395), (13.564010125809242, 103.67051523145547), (16.738624826553014, 110.99013921366858), (13.537885492387002, 111.18694547608271), (63.39894080445336, 33.7149113059814), (63.149652175252314, 36.91374576084568), (7.128100171781397, 30.291389597542604)]"
1452,"(29.605051945329002, 30.663996441578103)","(42.14778854790915, 69.04782900020776)","[(93.99293957724572, 36.71107907765361), (75.9204526953514, 40.43003895244374), (63.48932592544102, 64.92576076652193), (73.09152523397834, 55.855337647404795), (22.18796928056379, 77.96077386519154), (50.1233969861621, 71.03875886537834), (16.840443536039146, 90.92989575691598), (16.769683688332552, 102.04962400141571), (13.564010125809242, 103.67051523145547), (16.738624826553014, 110.99013921366858), (13.537885492387002, 111.18694547608271), (63.39894080445336, 33.7149113059814), (63.28554057615319, 36.914436523685616), (7.1283009222582345, 30.29138931910921)]"
1453,"(27.965732604451123, 30.370686553148012)","(40.26218210958499, 69.46627124334088)","[(84.49341318502209, 36.95364906371812), (68.54151264491205, 62.61510896285761), (73.13972708568632, 49.01870834682337), (30.26705907813015, 76.31), (55.16289383258088, 68.73391086107549), (17.287602747954384, 85.49180359719804), (16.782428876183538, 98.46454970566307), (13.564010125809242, 103.67051523145547), (16.743123333695262, 109.6952118005781), (13.537885492387002, 111.18694547608271), (63.39894080445336, 33.7149113059814), (63.36146929553242, 36.914822492888895), (7.1283009222582345, 30.29138931910921)]"
1454,"(29.594451098878316, 29.726814593614616)","(42.730561624389324, 67.57711205517364)","[(94.56599166493702, 36.703257620587756), (72.89825821857225, 58.9139107922623), (73.65906280969816, 45.497953651608235), (39.12076001950274, 76.0660892770077), (59.86143374688935, 66.58500181823584), (20.816717473608048, 78.78863067417812), (16.82229542813055, 93.286881271545), (13.565117356414579, 103.35194916872007), (16.75178924725557, 107.20066668286155), (13.537885492387002, 111.18694547608271), (63.39894080445336, 33.7149113059814), (63.370747932954366, 36.91486965907743), (7.1283009222582345, 30.29138931910921)]"
1455,"(27.848656987538067, 29.95298994272346)","(37.461281216311605, 65.03680639177479)","[(73.10183552272842, 54.39299502635286), (75.89558994903274, 40.471258768708864), (47.34671491140389, 72.30869321272056), (65.56567188755392, 63.976129882157146), (28.919571231425422, 76.31148982408209), (17.00254739386362, 87.42384544159103), (13.573801047599272, 100.85352716215259), (16.75178924725557, 107.20066668286155), (13.537885492387002, 111.18694547608271), (63.39894080445336, 33.7149113059814), (63.37825125748019, 36.91490780080052), (9.710517857984781, 30.420190927346358), (-1.1864607911172795, 30.302921582234557)]"
1456,"(28.227347535849283, 29.446349947057346)","(40.43766257503394, 63.07567119728994)","[(73.15306225622435, 48.89237403116171), (82.83091945063612, 37.21498804090379), (55.16241135495793, 68.73413152548311), (69.45304151931761, 62.198215060338136), (37.20477445970784, 76.31), (19.420993828353105, 80.15511108206526), (16.798421843810523, 96.3874630351083), (16.75178924725557, 107.20066668286155), (13.537885492387002, 111.18694547608271), (63.39894080445336, 33.7149113059814), (63.37868996179208, 36.91491003087045), (14.000454925110885, 30.773563008658225), (0.5982283314348686, 30.300446285254598)]"
1457,"(28.628080653507897, 28.365779529334752)","(43.78810383811894, 61.280704338634784)","[(73.67517803846852, 45.38984732527373), (91.18727327348304, 36.74937297624909), (60.71939871608575, 66.19260573043604), (72.90063182878971, 58.90501557288122), (45.33190339313481, 73.23018090255391), (27.357738819361035, 76.53460874009129), (16.848071117921688, 89.93926355992095), (16.758571627806138, 105.24830999580466), (13.537885492387002, 111.18694547608271), (63.39894080445336, 33.7149113059814), (63.37891554557985, 36.91491117758273), (20.355735928085846, 32.347171302792496), (3.795105309989542, 30.296012336601954)]"
1458,"(25.318310877534433, 30.428058696665584)","(40.72922686040627, 65.53106739401662)","[(75.86772810562961, 40.51745077224564), (65.24980875144627, 64.12059202611263), (73.1031241491482, 54.21022484581259), (51.98516789515243, 70.18726533441108), (35.364245515026404, 76.31), (17.256159038901174, 85.7049220696698), (16.772950028844427, 101.10938455406837), (16.737885492387, 111.20296183431316), (13.52772591857001, 114.11), (63.39894080445336, 33.7149113059814), (63.37891554557985, 36.91491117758273), (28.161297404543767, 33.466276869596975), (8.676000535599023, 30.334975332421664)]"
1459,"(25.425203016775864, 29.36839555670421)","(43.974198214084936, 63.29594163126322)","[(82.04474329210571, 37.33857255067277), (69.9988819195901, 61.94857125747914), (73.13957402498944, 49.040417455663984), (56.65860819978833, 68.04983576800045), (42.91729529715788, 74.33451826415794), (19.69856478222439, 79.69614507500616), (16.80433998350582, 95.61884464218187), (16.74405310617992, 109.42757014963829), (13.534469540799462, 112.1697635471262), (63.39894080445336, 33.7149113059814), (63.37891554557985, 36.91491117758273), (38.2904291046538, 33.58727696240717), (15.055761182076097, 31.005903050523784)]"
1460,"(25.91388716029328, 28.040258302925487)","(47.63320016786647, 61.31708852967767)","[(91.60500283213192, 36.74367148090812), (73.06390621301432, 57.61696209733141), (73.73425543842028, 44.99353643393066), (61.7677028197509, 65.71315675073242), (47.73240259826537, 72.13229633770742), (26.5402545408583, 76.65139220844881), (16.858274811682474, 88.61405883273848), (16.75877366084947, 105.19015334118868), (13.534469540799462, 112.1697635471262), (63.39894080445336, 33.7149113059814), (63.37891554557985, 36.91491117758273), (47.56894077891177, 33.63444251172562), (23.28976259754667, 33.03289486040778)]"
1461,"(23.47075005328203, 29.837313945092955)","(44.74815405709847, 65.32248587231157)","[(73.11014298764154, 53.21471958617517), (76.0778219323077, 40.16913732275302), (66.9899110782414, 63.32474444501004), (52.8107182906816, 69.80969427135167), (34.53784764146697, 76.31), (17.376219279235645, 84.89118044073618), (16.78, 98.85891688831207), (16.739818284849207, 110.64659371840735), (13.52772591857001, 114.11), (63.39894080445336, 33.7149113059814), (63.37891554557985, 36.91491117758273), (52.770195790293855, 33.66088210229463), (34.22774518895894, 33.566625081446276)]"
1462,"(24.187483665332827, 28.862396798378192)","(47.52421344518161, 63.03062788997448)","[(73.36495635293484, 47.47091779906213), (82.63730717045522, 37.24542330464435), (70.6965932302911, 61.56178105560469), (59.05787618268958, 66.95251431097694), (42.37305773636742, 74.58342899752728), (19.585965496217803, 79.88232898213109), (16.821450075909276, 93.39667139128267), (16.750229740415648, 107.6495818660677), (13.532448236436679, 112.75132168807555), (63.39894080445336, 33.7149113059814), (63.37891554557985, 36.91491117758273), (54.945005993235654, 33.67193733631128), (41.272028222374516, 33.60243335442043)]"
1463,"(25.694860696576153, 30.341354663939516)","(47.999307967345516, 64.44731989179324)","[(75.45252131007474, 41.20581993329713), (90.80617780649648, 36.75457446123981), (73.08786275810436, 56.374798808864334), (63.49766796419314, 64.9219454786161), (50.39706481075375, 70.91359503284212), (26.16420511601855, 76.70511355485449), (16.887900955772924, 88.2008935219835), (16.7685547720239, 102.37459062454931), (16.732448236436678, 112.76811479715603), (13.52772591857001, 114.11), (63.39894080445336, 33.7149113059814), (63.37891554557985, 36.91491117758273), (55.659519273994064, 33.67556942867323), (46.23080627036545, 33.62764035946528)]"
1464,"(24.1768647296216, 29.532480007313602)","(46.87582622777951, 64.63128678502103)","[(81.77526395919283, 37.38093388520264), (73.13864428059384, 49.17228620244093), (69.20512587286939, 62.31160095983676), (54.7228902292569, 68.93514948824676), (35.520039809952195, 76.31), (17.459561884281037, 84.32630278431742), (16.78813896450493, 97.72295198492242), (16.740450986764454, 110.46446595280351), (13.53352826982752, 112.44058065248187), (63.39894080445336, 33.7149113059814), (63.37891554557985, 36.91491117758273), (55.85514138308086, 33.67656383645734), (47.869098970776534, 36.83606997499971)]"
1465,"(25.410551300638343, 28.46911733229339)","(49.61565006646933, 62.35218507872336)","[(91.09557646835357, 36.75062452499972), (73.79974642894561, 44.554201039156496), (73.05930090722285, 57.65329284301975), (61.32237878200111, 65.91682871461212), (44.17597311826344, 73.75885344037756), (20.495170792883602, 78.98275593089208), (16.820812839930124, 93.47943241407508), (16.75637063708744, 105.88188089554481), (13.53352826982752, 112.44058065248187), (63.39894080445336, 33.7149113059814), (63.37891554557985, 36.91491117758273), (55.8864830939455, 33.67672315608331), (51.28025317560733, 36.853409928596705)]"
1466,"(23.986016878878665, 30.02049188566877)","(46.13501372830132, 65.99262574988438)","[(76.95107947875046, 39.50222374502941), (73.10675881706625, 53.69470777943701), (67.4423530316654, 63.117817054202504), (52.021370586074106, 70.17070778859566), (28.33748557246897, 76.39464491821872), (16.863552323704983, 87.33039258628514), (16.771588190630297, 101.50139941142226), (16.738932060197076, 110.90169981469958), (13.52772591857001, 114.11), (63.39894080445336, 33.7149113059814), (63.37891554557985, 36.91491117758273), (55.89623006103754, 33.676772702936645), (55.3202460777188, 36.873946464105885)]"
1467,"(25.02482022179669, 29.03463330761354)","(48.286254253919715, 63.59716519313922)","[(84.96194610002938, 36.879997109275685), (73.35767370155284, 47.519772252083015), (71.3715583353177, 61.14341425496836), (59.29041267683755, 66.84616217091252), (36.46899255955065, 76.31), (16.890214933967094, 79.37731683952967), (16.801595308989523, 95.97530924498577), (16.744670005434962, 109.24999129265014), (13.534089564627964, 112.27908811989705), (63.39894080445336, 33.7149113059814), (63.37891554557985, 36.91491117758273), (55.89776505382899, 33.67678050578055), (55.62453071078643, 36.87549323716299)]"
1468,"(26.324658653227534, 27.768332886800323)","(50.23481906392706, 60.677384899684704)","[(93.23483443059077, 36.72142628165709), (75.93895747150358, 40.399359981454566), (73.08359979024334, 56.97942975048502), (62.90553192912729, 65.19276290350787), (45.36710682840018, 73.2140803730787), (16.923830783722156, 69.35018908401977), (16.8610303335483, 88.08266622159323), (16.758030195295113, 105.40416521147814), (13.534089564627964, 112.27908811989705), (63.39894080445336, 33.7149113059814), (63.37891554557985, 36.91491117758273), (55.897917423761314, 33.676781280324114), (55.769862730198554, 36.876232004841455)]"
1469,"(25.582746982446753, 29.382734602089688)","(45.728507352554395, 63.313312578705286)","[(83.19222951580403, 37.15819119353838), (73.13291960305513, 49.98423630001464), (67.16039610319855, 63.24677196452019), (51.592839056231654, 70.36669958528468), (16.93, 59.408034370713395), (16.89391542002226, 78.27351471335956), (16.779309225082507, 99.27884449410764), (16.741843711868274, 110.06356008363286), (13.52772591857001, 114.11), (63.39894080445336, 33.7149113059814), (63.37891554557985, 36.91491117758273), (55.897917423761314, 33.676781280324114), (55.84364325558024, 36.87660705410914)]"
1470,"(27.284339840071226, 27.624216261644573)","(47.30285001326686, 60.119140069052285)","[(92.31683306026221, 36.73395587269888), (73.635001936072, 45.65936201218363), (71.62385919821399, 60.922450656514116), (57.820485048568926, 67.51844352433615), (16.93, 52.47169682629337), (16.928476013643056, 67.9645833590425), (16.838574989352566, 91.1725732578357), (16.755298716494686, 106.19044089474411), (13.535991287253935, 111.73193535293917), (63.39894080445336, 33.7149113059814), (63.37891554557985, 36.91491117758273), (55.897917423761314, 33.676781280324114), (55.87675614881335, 36.8767753772038)]"
