TimeStamp,Standard Deviation between Vehicle Coordinates,Mean Position of Vehicle Coordinates
1141,"(25.526067238493834, 20.81001794297502)","(35.87016073471682, 73.94448645833768)"
1142,"(25.52294118743372, 20.480048213120202)","(35.892503439396556, 73.7578207369906)"
1143,"(25.522345228863774, 20.46342705484335)","(35.897457548532756, 73.74654645102461)"
1144,"(26.212887956787732, 22.543758711125793)","(33.7052479423591, 71.03425657911316)"
1145,"(25.82851247420841, 22.501641459441245)","(34.068275128164586, 71.05517006755427)"
1146,"(25.253503172360357, 22.33847703863301)","(34.66277465283212, 71.14109522500135)"
1147,"(25.38967071501323, 23.650330921325445)","(33.390790262554006, 68.82424512500218)"
1148,"(24.829531561838106, 23.524081342629874)","(34.56954459448181, 68.89876236544583)"
1149,"(24.479167491120904, 23.344587783957923)","(36.06866000078543, 69.00725997216838)"
1150,"(24.91522594505586, 23.31334292510796)","(37.58407932052822, 69.02658547096209)"
1151,"(25.98326595103912, 23.313458738060135)","(39.03587996385453, 69.02651578473521)"
1152,"(27.6519420094331, 23.317320990680578)","(40.46018310274003, 69.02412766066435)"
1153,"(26.08608389015517, 22.15600061451864)","(38.02680177955064, 71.24024025277991)"
1154,"(27.074099964757515, 22.161211462704518)","(38.6938758813028, 71.23735871433391)"
1155,"(28.273589244980755, 22.17275240902363)","(39.357565540610224, 71.23098602242197)"
1156,"(25.522208854267348, 20.458641322374312)","(35.898546657979615, 73.74318971580195)"
1157,"(25.522208854267348, 20.458641322374312)","(35.898546657979615, 73.74318971580195)"
1158,"(25.522208854267348, 20.458641322374312)","(35.898546657979615, 73.74318971580195)"
1159,"(25.522208854267348, 20.458641322374312)","(35.898546657979615, 73.74318971580195)"
1160,"(26.193925405540963, 22.539282432091785)","(33.72468677213255, 71.03478677125675)"
1161,"(25.722354662878423, 22.496130329173873)","(34.15775618989197, 71.05729935669332)"
1162,"(25.098083769422132, 22.327203648746103)","(34.79695217027606, 71.14689086860253)"
1163,"(25.26413002394721, 23.631635647838767)","(33.52210572927289, 68.83501125342015)"
1164,"(24.646899766800146, 23.452915281617397)","(34.74767615370121, 68.94122455794361)"
1165,"(24.278287747053845, 23.323791632826946)","(36.31742022855159, 69.02010564623728)"
1166,"(24.768431130914223, 23.312302619683017)","(37.80109626265739, 69.02723755879127)"
1167,"(25.82121926341596, 23.31010316375217)","(39.11143668116846, 69.02859784742698)"
1168,"(27.174211476488004, 23.3113751855821)","(40.20786751131083, 69.02781055471736)"
1169,"(25.595621153903636, 22.153879828326275)","(37.61557792594753, 71.24141383482225)"
1170,"(25.61216274156872, 22.28996202071049)","(37.627245390497436, 71.1138061114315)"
1171,"(25.667798622139255, 22.655214546233474)","(37.664502054592724, 70.75699294170299)"
1172,"(26.057686535633508, 23.18832365753145)","(37.93179229000268, 70.2418895504234)"
1225,"(14.338096236379384, 31.38373592069246)","(19.154166995960097, 71.88805554105966)"
1226,"(18.261623885312325, 30.544985281676574)","(21.641917178136175, 69.51320611262773)"
1232,"(7.842480119467789, 27.492511373750105)","(11.992736299759967, 69.31934342774153)"
1233,"(9.601699785087646, 27.398856344513995)","(14.021494548192754, 69.645364842119)"
1234,"(12.460581132315024, 27.175428154659574)","(16.8801676331615, 69.78575862859319)"
1235,"(15.724422850076513, 27.119978172803204)","(20.245138410850508, 69.81850381706079)"
1236,"(19.85101150465928, 27.07278012383833)","(23.208017962266805, 69.61736198174908)"
1267,"(20.446363681982287, 31.616580346373954)","(24.422533808219733, 64.91586449019528)"
1338,"(24.47953448650687, 22.079913390639227)","(40.34581921412029, 73.58065326403808)"
1339,"(24.47953448650687, 22.079913390639227)","(40.34581921412029, 73.58065326403808)"
1340,"(24.47953448650687, 22.079913390639227)","(40.34581921412029, 73.58065326403808)"
1341,"(24.47953448650687, 22.079913390639227)","(40.34581921412029, 73.58065326403808)"
1342,"(24.47953448650687, 22.079913390639227)","(40.34581921412029, 73.58065326403808)"
1484,"(20.439591263625854, 32.819849988334134)","(30.821228139578153, 68.56994200880749)"
1491,"(19.52154590473683, 26.53634176163743)","(24.746680919499763, 73.49211573538396)"
1496,"(1.4470055575898253, 21.73522771025393)","(16.144840617947025, 81.53335816344847)"
1497,"(1.4645308393800347, 22.169343334183967)","(16.170396646666795, 81.27784378147575)"
1498,"(1.5598158306759493, 23.246361005189655)","(16.26423041137193, 80.61157253453482)"
1499,"(2.488299097005104, 24.864390599099583)","(16.728563973870116, 79.48754859282536)"
1500,"(5.053551107817044, 26.251813174606898)","(17.70096059903901, 78.24014946587644)"
1501,"(8.44217780409774, 27.882927257367776)","(19.145534841988088, 76.56728132749309)"
1502,"(12.792493438716098, 29.279061996826872)","(21.42701679097606, 75.03166005195054)"
1503,"(17.40003468854528, 30.5365115926604)","(24.208200572894533, 73.23733560597019)"
1510,"(15.631092567792749, 29.341885689625055)","(21.420384383360368, 79.8343379991751)"
1513,"(1.7133197338837132, 24.597817431622882)","(15.637291421749849, 85.15095841935313)"
1514,"(1.712720105599111, 24.53335922259418)","(15.63774403999983, 84.98196952440847)"
1515,"(1.712592008077291, 24.516401288631535)","(15.637837634497046, 84.95070155319235)"
1516,"(1.7125650949793132, 24.512723594972645)","(15.63785714217591, 84.94431078104968)"
1517,"(1.6600796693905966, 25.12456621723795)","(15.779393095743092, 87.68662235578518)"
1518,"(1.722767847732689, 25.661479672712886)","(15.84192710453666, 86.58393867541778)"
